model,df_len,epochs,seq_length,batch_size,learning_rate,d_model,n_layers,n_heads,d_ff,dropout,val_accuracy,time
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.65,402.8448808193207
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.2,0.62,449.4399211406708
tst_class,199961,20,30,128,0.01,512,1,8,512,0.4,0.28,130.98073554039001
tst_class,199961,20,30,128,0.0001,128,1,8,512,0.4,0.5,99.91266202926636
tst_class,199961,20,30,128,0.001,64,1,32,256,0.6,0.53,173.12915062904358
tst_class,199961,20,50,128,0.0001,256,1,16,128,0.4,0.56,132.4779016971588
tst_class,199961,20,10,128,0.0001,512,4,8,512,0.4,0.41,575.3449039459229
tst_class,199961,20,5,64,1e-05,512,1,8,512,0.2,0.62,291.5222716331482
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.62,178.7981460094452
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.62,380.7255165576935
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.56,156.7556664943695
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.6,156.6225037574768
tst_class,199961,20,20,128,0.0001,512,2,8,512,0.4,0.65,307.735554933548
tst_class,199961,20,20,128,0.0001,512,2,8,512,0.0,0.45,265.6147689819336
tst_class,199961,20,20,128,0.0001,512,2,8,1024,0.4,0.55,343.04849791526794
tst_class,199961,20,20,32,0.001,512,2,8,512,0.6,0.45,948.2497622966766
tst_class,199961,20,20,16,0.0001,512,2,8,512,0.4,0.48,872.8724381923676
tst_class,199961,20,40,128,0.0001,64,2,32,512,0.4,0.54,149.7339494228363
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.52,337.79903745651245
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.49,157.543687582016
tst_class,199961,20,30,128,0.0001,512,8,8,512,0.4,0.32,2024.1844103336334
tst_class,199961,20,30,128,0.01,512,1,8,512,0.4,0.44,175.14316129684448
tst_class,199961,20,20,128,0.0001,256,1,8,512,0.4,0.51,98.69498562812805
tst_class,199961,20,10,128,1e-06,512,1,8,128,0.4,0.49,86.975337266922
tst_class,199961,20,30,128,0.0001,128,1,16,512,0.6,0.59,111.46724724769592
tst_class,199961,20,30,128,0.0001,512,2,8,256,0.4,0.56,337.1264536380768
