learning_rate,batch_size,sequence_length,hidden_size,num_layers,test_loss,training_time
0.0071623695141043355,64,128,128,2,1.8076870441436768,121.2761070728302
0.00767619661980912,128,32,80,1,1.7164456844329834,77.0279312133789
0.09051277383073747,32,32,112,1,2.2567989826202393,191.5344796180725
0.08970734581529292,64,32,128,2,1.7396141290664673,129.52887558937073
0.013178236873235388,64,128,112,3,1.8152002096176147,291.68166399002075
0.07043205246906867,16,32,112,3,3.436518430709839,538.4234647750854
0.10874250283275348,64,64,256,1,1.7521328926086426,161.5308814048767
0.10415286674641677,32,32,64,3,1.7442787885665894,307.7300419807434
0.2201949703086989,32,256,64,1,nan,366.4897587299347
0.02419430389932697,128,32,64,2,1.715910792350769,71.61103439331055
0.21310068285307515,16,64,112,1,1.753552794456482,323.0592691898346
0.19677438494928004,64,128,512,3,nan,1820.8596169948578
0.17607076806405794,32,64,256,3,1.7967232465744019,479.3635790348053
0.12015801134056842,128,128,128,3,1.8372958898544312,252.7866394519806
0.024550628324898915,128,64,112,3,1.7601947784423828,135.01885223388672
0.010314037840886163,128,256,128,2,1.9169902801513672,351.0488934516907
