dataset,data_size,model,seq_length,buckets,dif_all,TI,index,bin_accuracy
twelve,39939,mini_rocket,30,14,True,True,,0.4974962443665498
twelve,39962,mini_rocket,30,1,True,False,5min,0.5053790342757067
twelve,39939,mini_rocket,30,4,True,True,,0.49949924887331
twelve,39962,mini_rocket,30,9,True,False,,0.4876157117838379
twelve,49946,mini_rocket,30,13,True,True,,0.507907907907908
twelve,49946,mini_rocket,30,8,True,True,,0.5133133133133133
twelve,49969,mini_rocket,30,5,False,False,,0.5027016209725835
twelve,49946,mini_rocket,30,4,False,True,,0.5007007007007007
twelve,49969,mini_rocket,30,5,False,False,,0.48709225535321193
twelve,49946,mini_rocket,30,9,False,True,,0.4954954954954955
twelve,49969,mini_rocket,30,5,True,False,1min,0.4954972983790274
twelve,49946,mini_rocket,30,3,True,True,,0.4936936936936937
twelve,49946,mini_rocket,30,13,True,True,,0.4966966966966967
twelve,49946,mini_rocket,30,7,True,True,,0.5071071071071072
twelve,49969,mini_rocket,30,10,True,False,1min,0.4926956173704223
twelve,49946,mini_rocket,30,15,True,True,1min,0.5069069069069069
twelve,49946,mini_rocket,30,12,True,True,,0.5015015015015015
twelve,49946,mini_rocket,30,1,True,True,,0.5067067067067067
twelve,49946,mini_rocket,30,11,True,True,,0.4932932932932933
twelve,49946,mini_rocket,30,8,True,True,1min,0.4950950950950951
twelve,49946,mini_rocket,30,14,True,True,,0.4998998998998999
twelve,49946,mini_rocket,30,7,True,True,,0.5025025025025025
twelve,49969,mini_rocket,30,11,False,False,1min,0.5097058234940964
twelve,49969,mini_rocket,30,10,False,False,1min,0.5041024614768861
twelve,49969,mini_rocket,30,8,False,False,1min,0.5165099059435662
twelve,49969,mini_rocket,30,8,False,False,1min,0.5055033019811888
twelve,49969,mini_rocket,30,10,False,False,1min,0.4976986191715029
twelve,49969,mini_rocket,30,6,False,False,1min,0.4998999399639784
twelve,49969,mini_rocket,30,9,False,False,1min,0.49889933960376226
