dataset,data_size,model,seq_length,buckets,dif_all,TI,index,bin_accuracy
twelve,4946,lstm,30,13,True,True,,0.503030303030303
twelve,4969,lstm,30,11,False,False,1h,0.4989939637826961
twelve,4969,lstm,30,12,True,False,,0.4989939637826961
twelve,4946,lstm,30,7,False,True,1h,0.4666666666666667
twelve,4946,lstm,30,2,True,True,,0.4787878787878787
twelve,4969,lstm,30,13,False,False,1h,0.5050301810865191
twelve,4969,lstm,30,15,True,False,1h,0.5251509054325956
twelve,4946,lstm,30,7,False,True,,0.5212121212121212
twelve,4969,lstm,30,9,True,False,,0.5352112676056338
twelve,4969,lstm,30,3,True,False,,0.4949698189134809
twelve,4969,lstm,30,10,True,False,1h,0.4869215291750503
twelve,4969,lstm,30,15,True,False,1h,0.5412474849094567
twelve,4969,lstm,30,15,True,False,1h,0.4929577464788732
twelve,4969,lstm,30,9,True,False,,0.4849094567404426
twelve,4969,lstm,30,4,True,False,1h,0.5412474849094567
twelve,4969,lstm,30,4,True,False,1h,0.482897384305835
twelve,4969,lstm,30,1,True,False,1h,0.5130784708249497
twelve,4969,lstm,30,5,False,False,1h,0.5090543259557344
twelve,4969,lstm,30,4,True,False,1h,0.5010060362173038
twelve,4969,lstm,30,8,True,False,1h,0.4969818913480885
twelve,4969,lstm,30,9,True,False,,0.5110663983903421
twelve,4969,lstm,30,14,True,False,1h,0.5070422535211268
twelve,4969,lstm,30,11,True,False,,0.4728370221327967
twelve,4969,lstm,30,6,True,False,1h,0.5050301810865191
twelve,4969,lstm,30,1,True,False,1h,0.5030181086519114
twelve,4969,lstm_fcn,30,4,True,False,,0.5050301810865191
twelve,4946,lstm_fcn,30,10,False,True,1h,0.4969696969696969
twelve,4969,lstm_fcn,30,3,True,False,1h,0.5130784708249497
twelve,4969,lstm_fcn,30,9,True,False,1h,0.5211267605633803
twelve,4969,lstm_fcn,30,15,False,False,1h,0.4869215291750503
twelve,4946,lstm_fcn,30,12,False,True,1h,0.509090909090909
twelve,4969,lstm_fcn,30,3,True,False,,0.5110663983903421
twelve,4969,lstm_fcn,30,10,True,False,1h,0.5110663983903421
twelve,4946,lstm_fcn,30,1,True,True,,0.5050505050505051
twelve,4969,lstm_fcn,30,7,True,False,,0.5150905432595574
twelve,4946,lstm_fcn,30,7,True,True,1h,0.501010101010101
twelve,4969,lstm_fcn,30,7,True,False,,0.5150905432595574
twelve,4969,lstm_fcn,30,9,True,False,,0.4929577464788732
twelve,4969,lstm_fcn,30,6,True,False,,0.5030181086519114
twelve,4969,lstm_fcn,30,12,True,False,1h,0.4889336016096579
twelve,4969,lstm_fcn,30,5,False,False,,0.5130784708249497
twelve,4946,TST,30,9,True,True,1h,0.498989898989899
twelve,4969,TST,30,6,False,False,,0.4748490945674044
twelve,4969,TST,30,9,False,False,1h,0.5110663983903421
twelve,4969,TST,30,12,False,False,1h,0.4949698189134809
twelve,4946,TST,30,7,True,True,1h,0.503030303030303
twelve,4946,TST,30,6,False,True,,0.5171717171717172
twelve,4946,TST,30,7,True,True,1h,0.5151515151515151
twelve,4969,TST,30,2,False,False,1h,0.5171026156941649
twelve,4969,TST,30,3,False,False,1h,0.5231388329979879
twelve,4969,TST,30,14,False,False,1h,0.5010060362173038
twelve,4969,TST,30,1,True,False,,0.5191146881287726
twelve,4969,TST,30,1,True,False,,0.4909456740442656
twelve,4846,mini_rocket,30,3,False,True,,0.4762886597938144
twelve,4869,mini_rocket,30,1,True,False,1day,0.4784394250513347
twelve,946,mini_rocket,30,7,True,True,1day,0.4421052631578947
twelve,969,mini_rocket,30,6,False,False,1day,0.4536082474226804
twelve,946,mini_rocket,30,4,True,True,,0.4526315789473684
twelve,946,mini_rocket,30,2,True,True,1day,0.5052631578947369
twelve,9968,mini_rocket,30,9,False,False,,0.5025075225677031
twelve,9968,mini_rocket,30,6,False,False,30min,0.518555667001003
twelve,9945,mini_rocket,30,13,True,True,,0.5005025125628141
twelve,9945,mini_rocket,30,6,True,True,30min,0.4723618090452261
twelve,9945,mini_rocket,30,13,True,True,30min,0.4964824120603015
twelve,9945,mini_rocket,30,10,True,True,,0.4944723618090452
twelve,9968,mini_rocket,30,9,False,False,,0.4724172517552658
twelve,9968,mini_rocket,30,5,True,False,,0.4924774322968906
twelve,9968,mini_rocket,30,8,False,False,30min,0.4784353059177532
twelve,9968,mini_rocket,30,9,False,False,30min,0.4894684052156469
twelve,9968,mini_rocket,30,11,True,False,,0.5025075225677031
twelve,9968,mini_rocket,30,12,False,False,,0.5025075225677031
twelve,9945,mini_rocket,30,8,True,True,30min,0.5226130653266332
twelve,9945,mini_rocket,30,7,True,True,30min,0.4834170854271357
twelve,9968,mini_rocket,30,11,False,False,,0.5175526579739218
twelve,9945,mini_rocket,30,11,False,True,,0.5015075376884423
twelve,9968,mini_rocket,30,14,False,False,,0.5235707121364093
twelve,9968,mini_rocket,30,11,False,False,30min,0.5055165496489469
twelve,9945,mini_rocket,30,14,True,True,,0.4844221105527638
twelve,9945,mini_rocket,30,2,False,True,,0.4974874371859296
twelve,9968,mini_rocket,30,13,True,False,,0.4744232698094283
twelve,9945,mini_rocket,30,5,True,True,,0.4884422110552764
twelve,9945,mini_rocket,30,6,True,True,30min,0.4904522613065327
twelve,9968,mini_rocket,30,14,False,False,30min,0.4724172517552658
