model,df_len,epochs,seq_length,batch_size,learning_rate,d_model,n_layers,n_heads,d_ff,dropout,val_mae,time
tst_reg,14998,2,33,128,0.000509577123979,512,1,16,512,0.0,,10.354628801345823
tst_reg,14998,2,36,256,5.719855525915662e-06,128,2,32,1024,0.1,,10.997857093811035
tst_reg,14998,2,37,64,5.863056451084699e-05,64,1,8,256,0.4,,6.512285947799683
tst_reg,14998,2,17,128,0.00475623729126,64,2,16,512,0.0,,6.360647916793823
tst_reg,14998,2,21,256,1.3491243924245792e-06,128,8,16,256,0.2,,12.633949041366575
tst_reg,14998,2,38,32,0.00030904295463047275,128,8,32,1024,0.1,0.05535183101892471,51.609530448913574
