model,df_len,epochs,seq_length,batch_size,learning_rate,hidden_size,n_layers,rnn_dropout,fc_dropout,val_accuracy,time
lstm_class,39993,20,50,128,0.01,50,1,0.2,0.4,0.58,11.446312189102173
lstm_class,39993,20,20,128,1e-05,50,8,0,0,0.5,14.949849605560303
lstm_class,39993,20,10,16,1e-06,50,2,0.6,0,0.58,228.47178506851196
lstm_class,39993,20,5,128,0.01,200,8,0.2,0.2,0.6,32.14475917816162
lstm_class,39993,20,5,128,0.0001,200,8,0.2,0.2,0.54,58.230828523635864
lstm_class,39993,20,5,128,0.01,200,1,0.2,0.2,0.57,23.363013982772827
lstm_class,39993,20,5,128,0.001,200,8,0.2,0.2,0.56,51.44054579734802
lstm_class,39993,20,5,128,0.01,200,8,0.2,0.2,0.6,46.42455172538757
lstm_class,39993,20,5,128,0.01,200,8,0.2,0.2,0.45,20.236754179000854
lstm_class,39993,20,5,128,0.01,200,8,0.2,0.2,0.42,29.00994634628296
lstm_class,39993,20,5,128,0.01,200,8,0.2,0.2,0.44,40.65822887420654
lstm_class,39993,20,5,16,0.01,200,8,0.2,0.2,0.6,164.06099152565002
lstm_class,39993,20,5,16,0.01,200,4,0.2,0.2,0.56,134.16718316078186
lstm_class,39993,20,5,16,0.01,200,8,0.2,0.2,0.6,166.59468626976013
lstm_class,39993,20,5,16,0.01,200,8,0.2,0.2,0.4,143.0195918083191
lstm_class,39993,20,5,16,1e-06,200,8,0.2,0.2,0.4,478.5086889266968
lstm_class,39993,20,5,16,0.01,200,8,0.2,0.2,0.54,143.3429572582245
lstm_class,39993,20,5,16,0.01,200,8,0.2,0.2,0.4,150.8521478176117
lstm_class,39993,20,5,16,0.01,200,8,0.2,0.2,0.6,148.29401397705078
lstm_class,39993,20,5,16,0.01,200,8,0.2,0.2,0.4,144.05227041244507
lstm_class,39993,20,5,16,0.01,200,8,0.2,0.2,0.6,171.30514764785767
lstm_class,39993,20,5,16,0.01,200,8,0.2,0.2,0.4,146.78492093086243
lstm_class,39993,20,5,16,0.01,200,8,0.2,0.2,0.6,149.23635125160217
lstm_class,39993,20,5,16,0.01,200,8,0.2,0.2,0.4,150.62061667442322
lstm_class,39993,20,5,16,0.01,200,1,0.2,0.2,0.44,141.8544294834137
lstm_class,39993,20,5,16,0.01,200,2,0.2,0.2,0.5,84.36969780921936
