model,df_len,epochs,seq_length,batch_size,learning_rate,num_features,max_dilations_per_kernel,kernel_size,max_num_channels,dropout,val_accuracy,time
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.55,98.58022975921631
mini_rocket_class,39993,20,30,16,1e-05,2500,16,8,12,0.6,0.54,93.04492473602295
mini_rocket_class,39993,20,30,128,1e-05,2500,32,6,16,0.2,0.45,89.11436629295349
mini_rocket_class,39993,20,20,64,0.01,5000,32,8,16,0.0,0.53,41.48092293739319
mini_rocket_class,39993,20,30,16,1e-05,1000,8,2,2,0.4,0.45,19.959505081176758
mini_rocket_class,39993,20,30,16,0.001,2500,64,8,8,0.2,0.52,32.078933238983154
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.64,73.2533597946167
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.55,91.12825441360474
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.51,93.79805135726929
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.54,74.58147096633911
mini_rocket_class,39993,20,50,16,1e-06,2500,32,8,16,0.0,0.38,27.332363605499268
mini_rocket_class,39993,20,20,32,1e-05,2500,8,8,16,0.0,0.53,68.66989207267761
mini_rocket_class,39993,20,40,16,1e-05,5000,64,4,16,0.2,0.56,88.82873368263245
mini_rocket_class,39993,20,30,128,1e-05,10000,32,8,12,0.4,0.39,72.1317355632782
mini_rocket_class,39993,20,30,16,1e-05,2500,16,8,16,0.0,0.5,78.38767123222351
mini_rocket_class,39993,20,20,16,0.0001,2500,8,6,16,0.2,0.53,37.72014236450195
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.55,68.24478769302368
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.49,72.86013412475586
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.53,73.57647943496704
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.49,89.77093505859375
mini_rocket_class,39993,20,30,64,1e-05,2500,64,8,4,0.6,0.43,113.08316731452942
mini_rocket_class,39993,20,20,16,1e-05,1000,32,8,16,0.0,0.43,79.16267919540405
mini_rocket_class,39993,20,30,16,0.001,2500,8,2,2,0.0,0.45,23.038594722747803
mini_rocket_class,39993,20,30,128,1e-05,5000,32,8,16,0.4,0.53,72.31984615325928
mini_rocket_class,39993,20,50,16,0.01,2500,64,6,8,0.2,0.47,46.958144426345825
mini_rocket_class,39993,20,20,32,1e-05,2500,32,8,16,0.0,0.48,69.12637639045715
mini_rocket_class,39993,20,30,16,1e-05,2500,8,8,16,0.2,0.51,27.52388596534729
mini_rocket_class,39993,20,30,16,1e-05,2500,8,8,16,0.2,0.5,77.94696021080017
mini_rocket_class,39993,20,30,16,1e-05,2500,8,8,16,0.2,0.55,27.51756978034973
mini_rocket_class,39993,20,30,16,1e-06,2500,8,8,16,0.2,0.44,31.95812177658081
mini_rocket_class,39993,20,30,16,1e-05,2500,8,8,16,0.2,0.57,88.10168838500977
mini_rocket_class,39993,20,40,16,1e-05,10000,64,4,2,0.0,0.5,90.60897207260132
mini_rocket_class,39993,20,30,16,1e-05,2500,16,8,16,0.4,0.48,67.84490132331848
mini_rocket_class,39993,20,20,128,0.0001,5000,8,8,12,0.0,0.44,37.91722846031189
mini_rocket_class,39993,20,30,16,1e-05,2500,32,6,16,0.2,0.57,92.54472064971924
