model,seq_length,d_model,n_layers,n_heads,d_ff,dropout,learning_rate,val_accuracy,time
tst_class,150,64,4,8,512,0.3,0.00884022533688,0.4857142865657806,0.0079786777496337
tst_class,300,512,2,8,128,0.0,2.1766233576265413e-05,0.4857142865657806,0.0259313583374023
tst_class,100,64,1,32,256,0.30000000000000004,0.0016820465658794106,0.47428572177886963,0.002990245819091797
tst_class,50,256,2,32,128,0.30000000000000004,0.005855550671309479,0.4628571569919586,0.008975028991699219
