model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
lstm_fcn_class,39993,20,3,True,0.95,,10,True,0.5353029544316474
lstm_fcn_class,39993,20,1,False,0.95,,15,True,0.5067601402103155
lstm_fcn_class,39993,20,3,False,0.95,,3,True,0.5082623935903856
lstm_fcn_class,39993,20,3,False,0.95,5min,1,False,0.5052526263131566
lstm_fcn_class,39993,20,1,False,0.95,,1,True,0.5022533800701051
lstm_fcn_class,39993,20,1,True,0.95,5min,15,False,0.49074537268634316
lstm_fcn_class,39993,20,1,True,0.95,,5,True,0.5032548823234853
lstm_fcn_class,39993,20,1,True,0.95,5min,15,True,0.5022533800701051
lstm_fcn_class,39993,20,1,True,0.95,,3,False,0.5077538769384692
lstm_fcn_class,39993,20,1,False,0.95,5min,3,False,0.49024512256128067
lstm_fcn_class,39993,20,3,True,0.95,,10,True,0.485728592889334
lstm_fcn_class,39993,20,3,False,0.95,,10,True,0.4912368552829244
lstm_fcn_class,39993,20,3,False,0.95,,10,True,0.4902353530295443
lstm_fcn_class,39993,20,3,True,0.95,,3,True,0.49524286429644465
lstm_fcn_class,39993,20,3,False,0.95,,5,True,0.4877315973960941
lstm_fcn_class,39993,20,3,True,0.95,,10,True,0.4992488733099649
lstm_fcn_class,39993,20,3,True,0.95,,3,True,0.49173760640961445
lstm_fcn_class,39993,20,3,False,0.95,,3,True,0.5052578868302454
lstm_fcn_class,39993,20,3,True,0.95,5min,10,False,0.5242621310655328
lstm_fcn_class,39993,20,3,True,0.95,5min,10,False,0.5097548774387194
lstm_fcn_class,39993,20,3,True,0.95,5min,10,False,0.5362681340670336
lstm_fcn_class,39993,20,3,True,0.95,5min,10,False,0.4992496248124062
lstm_fcn_class,39993,20,3,True,0.95,5min,10,False,0.5177588794397199
lstm_fcn_class,39993,20,3,True,0.95,5min,10,False,0.49224612306153076
lstm_fcn_class,39993,20,3,True,0.95,5min,10,False,0.49224612306153076
lstm_fcn_class,39993,20,3,True,0.95,5min,10,False,0.48874437218609307
lstm_fcn_class,39993,20,3,True,0.95,5min,1,False,0.5162581290645323
lstm_fcn_class,39993,20,3,True,0.95,5min,10,False,0.5167583791895948
lstm_fcn_class,39993,20,3,True,0.95,5min,5,False,0.5087543771885943
lstm_fcn_class,39993,20,3,True,0.95,5min,15,False,0.4942471235617809
lstm_fcn_class,39993,20,3,True,0.95,5min,10,False,0.4927463731865933
lstm_fcn_class,39993,20,3,True,0.95,5min,10,False,0.4927463731865933
lstm_fcn_class,39993,20,3,True,0.95,5min,10,False,0.49974987493746875
lstm_fcn_class,39993,20,3,True,0.95,5min,10,False,0.4977488744372186
lstm_fcn_class,39993,20,3,True,0.95,5min,1,False,0.4947473736868434
lstm_fcn_class,39993,20,3,True,0.95,5min,10,False,0.5022511255627814
lstm_fcn_class,39993,20,1,True,0.95,5min,10,False,0.48874437218609307
lstm_fcn_class,39993,20,3,True,0.95,5min,15,False,0.4822411205602801
lstm_fcn_class,39993,20,1,True,0.95,,5,True,0.5017526289434151
lstm_fcn_class,39993,20,3,False,0.95,5min,1,False,0.4917458729364682
lstm_fcn_class,39993,20,1,True,0.95,5min,10,True,0.4992488733099649
lstm_fcn_class,39993,20,3,True,0.95,5min,10,False,0.5047523761880941
lstm_fcn_class,39993,20,3,True,0.95,5min,10,False,0.49674837418709356
lstm_fcn_class,39993,20,3,True,0.95,5min,10,False,0.5142571285642822
lstm_fcn_class,39993,20,3,True,0.95,5min,10,False,0.5002501250625313
lstm_fcn_class,39993,20,3,True,0.95,,15,False,0.511255627813907
lstm_fcn_class,39993,20,1,False,0.95,,10,True,0.4957436154231347
lstm_fcn_class,39993,20,3,True,0.95,5min,10,False,0.5162581290645323
lstm_fcn_class,39993,20,3,True,0.95,,5,True,0.485728592889334
lstm_fcn_class,39993,20,3,False,0.95,5min,10,False,0.4947473736868434
