model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
mini_rocket_class,39993,20,3,False,0.95,,5,True,0.5177766649974962
mini_rocket_class,39993,20,3,True,0.95,5min,3,True,0.5107661492238358
mini_rocket_class,39993,20,3,False,0.95,5min,3,True,0.5067601402103155
mini_rocket_class,39993,20,1,True,0.95,5min,1,True,0.5217826740110165
mini_rocket_class,39993,20,1,True,0.95,5min,3,True,0.5157736604907361
mini_rocket_class,39993,20,1,False,0.95,5min,15,True,0.5117676514772158
mini_rocket_class,39993,20,3,True,0.95,,15,False,0.5167583791895948
mini_rocket_class,39993,20,3,True,0.95,,1,False,0.4842421210605303
mini_rocket_class,39993,20,3,True,0.95,5min,10,False,0.48924462231115556
mini_rocket_class,39993,20,3,False,0.95,5min,15,False,0.49824912456228115
mini_rocket_class,39993,20,1,True,0.95,5min,1,True,0.5077616424636956
mini_rocket_class,39993,20,1,False,0.95,,5,True,0.5062593890836254
mini_rocket_class,39993,20,1,False,0.95,,5,True,0.4972458688032048
mini_rocket_class,39993,20,1,False,0.95,,5,True,0.5062593890836254
mini_rocket_class,39993,20,1,False,0.95,,1,True,0.486229344016024
mini_rocket_class,39993,20,3,True,0.95,,10,True,0.4902353530295443
mini_rocket_class,39993,20,3,True,0.95,5min,5,True,0.4787180771156735
mini_rocket_class,39993,20,1,False,0.95,,1,True,0.5167751627441162
mini_rocket_class,39993,20,1,False,0.95,5min,5,False,0.4932466233116558
mini_rocket_class,39993,20,3,True,0.95,,1,True,0.5182774161241863
mini_rocket_class,39993,20,3,True,0.95,5min,1,True,0.5127691537305958
mini_rocket_class,39993,20,3,True,0.95,,1,True,0.5227841762643965
mini_rocket_class,39993,20,3,True,0.95,,1,True,0.5032548823234853
mini_rocket_class,39993,20,3,True,0.95,,1,True,0.5002503755633451
mini_rocket_class,39993,20,3,True,0.95,,1,True,0.5072608913370055
mini_rocket_class,39993,20,3,True,0.95,,1,True,0.5052578868302454
mini_rocket_class,39993,20,1,True,0.95,,1,False,0.5032516258129065
mini_rocket_class,39993,20,3,True,0.95,,1,True,0.4757135703555333
mini_rocket_class,39993,20,1,True,0.95,5min,10,True,0.4912368552829244
mini_rocket_class,39993,20,3,True,0.95,,1,True,0.5012518778167251
mini_rocket_class,39993,20,3,True,0.95,,1,True,0.5197796695042564
mini_rocket_class,39993,20,3,True,0.95,,1,True,0.5037556334501753
mini_rocket_class,39993,20,3,True,0.95,,1,True,0.5032548823234853
mini_rocket_class,39993,20,3,True,0.95,,3,True,0.515272909364046
mini_rocket_class,39993,20,3,True,0.95,,1,True,0.5012518778167251
mini_rocket_class,39993,20,3,True,0.95,5min,3,True,0.48923385077616427
mini_rocket_class,39993,20,3,True,0.95,5min,15,True,0.5267901852779169
mini_rocket_class,39993,20,3,True,0.95,5min,15,True,0.5007511266900351
mini_rocket_class,39993,20,1,True,0.95,5min,15,False,0.49874937468734365
mini_rocket_class,39993,20,3,True,0.95,5min,15,True,0.513770655983976
mini_rocket_class,39993,20,3,True,0.95,5min,15,False,0.49024512256128067
mini_rocket_class,39993,20,3,True,0.95,5min,1,True,0.4987481221832749
mini_rocket_class,39993,20,3,True,0.95,5min,15,True,0.5037556334501753
mini_rocket_class,39993,20,3,True,0.95,,3,True,0.4912368552829244
mini_rocket_class,39993,20,3,True,0.95,5min,10,True,0.5012518778167251
mini_rocket_class,39993,20,1,True,0.95,,1,True,0.5062593890836254
mini_rocket_class,39993,20,3,True,0.95,,1,True,0.485728592889334
mini_rocket_class,39993,20,1,True,0.95,5min,15,True,0.5057586379569354
mini_rocket_class,39993,20,3,False,0.95,,1,False,0.5262631315657829
mini_rocket_class,39993,20,1,False,0.95,5min,10,False,0.4837418709354677
